"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"9177","Asia","Iraq",1172042,16214,393.741,246.75,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9178","Asia","Iraq",1176980,16241,394.397,247.86,1.34,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9179","Asia","Iraq",1181698,16267,395.028,248.935,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9180","Asia","Iraq",1186309,16289,395.562,250.011,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9181","Asia","Iraq",1190351,16311,396.097,251.066,1.41,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9182","Asia","Iraq",1193608,16334,396.655,251.86,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9183","Asia","Iraq",1197082,16351,397.068,252.641,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9184","Asia","Iraq",1201352,16375,397.651,253.598,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9185","Asia","Iraq",1205522,16405,398.379,254.593,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9186","Asia","Iraq",1210105,16436,399.132,255.732,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9187","Asia","Iraq",1214367,16462,399.763,256.764,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9188","Asia","Iraq",1218524,16488,400.395,257.784,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9189","Asia","Iraq",1221678,16518,401.123,258.54,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9190","Asia","Iraq",1224992,16538,401.609,259.337,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9191","Asia","Iraq",1229121,16566,402.289,260.318,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9192","Asia","Iraq",1233240,16589,402.848,261.353,1.49,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9193","Asia","Iraq",1237856,16614,403.455,262.446,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9194","Asia","Iraq",1242540,16648,404.28,263.526,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9195","Asia","Iraq",1246860,16668,404.766,264.645,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9196","Asia","Iraq",1250691,16690,405.3,265.513,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9197","Asia","Iraq",1254643,16705,405.664,266.399,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9198","Asia","Iraq",1259683,16736,406.417,267.487,1.71,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9199","Asia","Iraq",1264301,16762,407.049,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9200","Asia","Iraq",1269440,16781,407.51,269.785,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9201","Asia","Iraq",1274629,16811,408.239,270.875,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9202","Asia","Iraq",1279697,16834,408.797,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9203","Asia","Iraq",1283305,16860,409.429,272.772,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9204","Asia","Iraq",1287465,16885,410.036,273.671,1.96,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9205","Asia","Iraq",1292700,16910,410.643,274.785,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9206","Asia","Iraq",1298703,16935,411.25,275.981,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9207","Asia","Iraq",1305000,16968,412.051,277.179,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9208","Asia","Iraq",1311093,16999,412.804,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9209","Asia","Iraq",1316418,17033,413.63,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9210","Asia","Iraq",1321232,17061,414.31,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9211","Asia","Iraq",1325700,17091,415.038,281.159,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9212","Asia","Iraq",1332046,17121,415.767,282.239,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9213","Asia","Iraq",1338604,17156,416.617,283.44,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9214","Asia","Iraq",1345904,17186,417.345,284.676,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9215","Asia","Iraq",1353458,17216,418.074,285.854,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9216","Asia","Iraq",1359836,17256,419.045,286.957,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9217","Asia","Iraq",1365211,17281,419.652,287.789,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9218","Asia","Iraq",1371475,17316,420.502,288.739,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9219","Asia","Iraq",1379505,17345,421.206,289.842,2.64,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9220","Asia","Iraq",1388323,17376,421.959,291.12,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9221","Asia","Iraq",1397100,17413,422.858,292.369,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9222","Asia","Iraq",1406289,17444,423.61,293.55,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9223","Asia","Iraq",1414925,17476,424.387,294.654,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9224","Asia","Iraq",1421746,17515,425.335,295.545,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
